district_code,state_code,state_name,district,year,crop,area_1000_ha,rainfall_mm,avg_temp_c,max_temp_c,min_temp_c,yield_kg_per_ha
127,3,Gujarat,Valsad,2003,RABI SORGHUM,0.5,2272.5299999999997,26.890416666666667,32.195,21.58583333333333,600.0
127,3,Gujarat,Valsad,2003,RAPESEED AND MUSTARD,0.0,2272.5299999999997,26.890416666666667,32.195,21.58583333333333,0.0
127,3,Gujarat,Valsad,2003,RICE,85.9,2272.5299999999997,26.890416666666667,32.195,21.58583333333333,2284.05
127,3,Gujarat,Valsad,2003,SAFFLOWER,0.0,2272.5299999999997,26.890416666666667,32.195,21.58583333333333,0.0
127,3,Gujarat,Valsad,2003,SESAMUM,0.0,2272.5299999999997,26.890416666666667,32.195,21.58583333333333,0.0
127,3,Gujarat,Valsad,2003,SORGHUM,1.9,2272.5299999999997,26.890416666666667,32.195,21.58583333333333,789.47
127,3,Gujarat,Valsad,2003,SOYABEAN,0.0,2272.5299999999997,26.890416666666667,32.195,21.58583333333333,0.0
127,3,Gujarat,Valsad,2003,SUGARCANE,38.2,2272.5299999999997,26.890416666666667,32.195,21.58583333333333,6452.88
127,3,Gujarat,Valsad,2003,SUNFLOWER,0.0,2272.5299999999997,26.890416666666667,32.195,21.58583333333333,0.0
127,3,Gujarat,Valsad,2003,WHEAT,1.2,2272.5299999999997,26.890416666666667,32.195,21.58583333333333,2000.0
127,3,Gujarat,Valsad,2004,BARLEY,0.0,3122.0,26.770416666666662,32.07666666666667,21.46416666666666,0.0
127,3,Gujarat,Valsad,2004,CASTOR,0.1,3122.0,26.770416666666662,32.07666666666667,21.46416666666666,1000.0
127,3,Gujarat,Valsad,2004,CHICKPEA,1.5,3122.0,26.770416666666662,32.07666666666667,21.46416666666666,600.0
127,3,Gujarat,Valsad,2004,COTTON,0.0,3122.0,26.770416666666662,32.07666666666667,21.46416666666666,0.0
127,3,Gujarat,Valsad,2004,FINGER MILLET,11.2,3122.0,26.770416666666662,32.07666666666667,21.46416666666666,964.29
127,3,Gujarat,Valsad,2004,GROUNDNUT,0.4,3122.0,26.770416666666662,32.07666666666667,21.46416666666666,1000.0
127,3,Gujarat,Valsad,2004,KHARIF SORGHUM,1.0,3122.0,26.770416666666662,32.07666666666667,21.46416666666666,1700.0
127,3,Gujarat,Valsad,2004,LINSEED,0.0,3122.0,26.770416666666662,32.07666666666667,21.46416666666666,0.0
127,3,Gujarat,Valsad,2004,MAIZE,0.0,3122.0,26.770416666666662,32.07666666666667,21.46416666666666,0.0
127,3,Gujarat,Valsad,2004,MINOR PULSES,11.2,3122.0,26.770416666666662,32.07666666666667,21.46416666666666,589.29
127,3,Gujarat,Valsad,2004,OILSEEDS,0.5,3122.0,26.770416666666662,32.07666666666667,21.46416666666666,1000.0
127,3,Gujarat,Valsad,2004,PEARL MILLET,0.0,3122.0,26.770416666666662,32.07666666666667,21.46416666666666,0.0
127,3,Gujarat,Valsad,2004,PIGEONPEA,5.1,3122.0,26.770416666666662,32.07666666666667,21.46416666666666,921.57
127,3,Gujarat,Valsad,2004,RABI SORGHUM,0.4,3122.0,26.770416666666662,32.07666666666667,21.46416666666666,750.0
127,3,Gujarat,Valsad,2004,RAPESEED AND MUSTARD,0.0,3122.0,26.770416666666662,32.07666666666667,21.46416666666666,0.0
127,3,Gujarat,Valsad,2004,RICE,97.0,3122.0,26.770416666666662,32.07666666666667,21.46416666666666,2031.96
127,3,Gujarat,Valsad,2004,SAFFLOWER,0.0,3122.0,26.770416666666662,32.07666666666667,21.46416666666666,0.0
127,3,Gujarat,Valsad,2004,SESAMUM,0.0,3122.0,26.770416666666662,32.07666666666667,21.46416666666666,0.0
127,3,Gujarat,Valsad,2004,SORGHUM,1.4,3122.0,26.770416666666662,32.07666666666667,21.46416666666666,1428.57
127,3,Gujarat,Valsad,2004,SOYABEAN,0.0,3122.0,26.770416666666662,32.07666666666667,21.46416666666666,0.0
127,3,Gujarat,Valsad,2004,SUGARCANE,43.1,3122.0,26.770416666666662,32.07666666666667,21.46416666666666,6271.46
127,3,Gujarat,Valsad,2004,SUNFLOWER,0.0,3122.0,26.770416666666662,32.07666666666667,21.46416666666666,0.0
127,3,Gujarat,Valsad,2004,WHEAT,0.8,3122.0,26.770416666666662,32.07666666666667,21.46416666666666,2750.0
127,3,Gujarat,Valsad,2005,BARLEY,0.0,3217.81,26.36625,31.670833333333334,21.061666666666664,0.0
127,3,Gujarat,Valsad,2005,CASTOR,0.0,3217.81,26.36625,31.670833333333334,21.061666666666664,0.0
127,3,Gujarat,Valsad,2005,CHICKPEA,2.9,3217.81,26.36625,31.670833333333334,21.061666666666664,1103.45
127,3,Gujarat,Valsad,2005,COTTON,0.0,3217.81,26.36625,31.670833333333334,21.061666666666664,0.0
127,3,Gujarat,Valsad,2005,FINGER MILLET,11.1,3217.81,26.36625,31.670833333333334,21.061666666666664,909.91
127,3,Gujarat,Valsad,2005,GROUNDNUT,0.2,3217.81,26.36625,31.670833333333334,21.061666666666664,1000.0
127,3,Gujarat,Valsad,2005,KHARIF SORGHUM,1.4,3217.81,26.36625,31.670833333333334,21.061666666666664,1357.14
127,3,Gujarat,Valsad,2005,LINSEED,0.0,3217.81,26.36625,31.670833333333334,21.061666666666664,0.0
127,3,Gujarat,Valsad,2005,MAIZE,0.0,3217.81,26.36625,31.670833333333334,21.061666666666664,0.0
127,3,Gujarat,Valsad,2005,MINOR PULSES,15.0,3217.81,26.36625,31.670833333333334,21.061666666666664,740.0
127,3,Gujarat,Valsad,2005,OILSEEDS,0.3,3217.81,26.36625,31.670833333333334,21.061666666666664,1000.0
127,3,Gujarat,Valsad,2005,PEARL MILLET,0.0,3217.81,26.36625,31.670833333333334,21.061666666666664,0.0
127,3,Gujarat,Valsad,2005,PIGEONPEA,5.1,3217.81,26.36625,31.670833333333334,21.061666666666664,980.39
127,3,Gujarat,Valsad,2005,RABI SORGHUM,0.3,3217.81,26.36625,31.670833333333334,21.061666666666664,1000.0
127,3,Gujarat,Valsad,2005,RAPESEED AND MUSTARD,0.1,3217.81,26.36625,31.670833333333334,21.061666666666664,1000.0
127,3,Gujarat,Valsad,2005,RICE,89.7,3217.81,26.36625,31.670833333333334,21.061666666666664,2285.4
127,3,Gujarat,Valsad,2005,SAFFLOWER,0.0,3217.81,26.36625,31.670833333333334,21.061666666666664,0.0
127,3,Gujarat,Valsad,2005,SESAMUM,0.0,3217.81,26.36625,31.670833333333334,21.061666666666664,0.0
127,3,Gujarat,Valsad,2005,SORGHUM,1.7,3217.81,26.36625,31.670833333333334,21.061666666666664,1294.12
127,3,Gujarat,Valsad,2005,SOYABEAN,0.0,3217.81,26.36625,31.670833333333334,21.061666666666664,0.0
127,3,Gujarat,Valsad,2005,SUGARCANE,43.5,3217.81,26.36625,31.670833333333334,21.061666666666664,6765.52
127,3,Gujarat,Valsad,2005,SUNFLOWER,0.0,3217.81,26.36625,31.670833333333334,21.061666666666664,0.0
127,3,Gujarat,Valsad,2005,WHEAT,1.1,3217.81,26.36625,31.670833333333334,21.061666666666664,2636.36
127,3,Gujarat,Valsad,2006,BARLEY,0.0,3501.76,26.75875,32.064166666666665,21.453333333333333,0.0
127,3,Gujarat,Valsad,2006,CASTOR,0.0,3501.76,26.75875,32.064166666666665,21.453333333333333,0.0
127,3,Gujarat,Valsad,2006,CHICKPEA,2.3,3501.76,26.75875,32.064166666666665,21.453333333333333,1173.91
127,3,Gujarat,Valsad,2006,COTTON,0.0,3501.76,26.75875,32.064166666666665,21.453333333333333,0.0
127,3,Gujarat,Valsad,2006,FINGER MILLET,9.7,3501.76,26.75875,32.064166666666665,21.453333333333333,845.36
127,3,Gujarat,Valsad,2006,GROUNDNUT,0.3,3501.76,26.75875,32.064166666666665,21.453333333333333,1000.0
127,3,Gujarat,Valsad,2006,KHARIF SORGHUM,1.3,3501.76,26.75875,32.064166666666665,21.453333333333333,1230.77
127,3,Gujarat,Valsad,2006,LINSEED,0.0,3501.76,26.75875,32.064166666666665,21.453333333333333,0.0
127,3,Gujarat,Valsad,2006,MAIZE,0.0,3501.76,26.75875,32.064166666666665,21.453333333333333,0.0
127,3,Gujarat,Valsad,2006,MINOR PULSES,13.4,3501.76,26.75875,32.064166666666665,21.453333333333333,671.64
127,3,Gujarat,Valsad,2006,OILSEEDS,0.4,3501.76,26.75875,32.064166666666665,21.453333333333333,1000.0
127,3,Gujarat,Valsad,2006,PEARL MILLET,0.0,3501.76,26.75875,32.064166666666665,21.453333333333333,0.0
127,3,Gujarat,Valsad,2006,PIGEONPEA,6.3,3501.76,26.75875,32.064166666666665,21.453333333333333,825.4
127,3,Gujarat,Valsad,2006,RABI SORGHUM,0.5,3501.76,26.75875,32.064166666666665,21.453333333333333,800.0
127,3,Gujarat,Valsad,2006,RAPESEED AND MUSTARD,0.1,3501.76,26.75875,32.064166666666665,21.453333333333333,1000.0
127,3,Gujarat,Valsad,2006,RICE,94.6,3501.76,26.75875,32.064166666666665,21.453333333333333,2140.59
127,3,Gujarat,Valsad,2006,SAFFLOWER,0.0,3501.76,26.75875,32.064166666666665,21.453333333333333,0.0
127,3,Gujarat,Valsad,2006,SESAMUM,0.0,3501.76,26.75875,32.064166666666665,21.453333333333333,0.0
127,3,Gujarat,Valsad,2006,SORGHUM,1.8,3501.76,26.75875,32.064166666666665,21.453333333333333,1111.11
127,3,Gujarat,Valsad,2006,SOYABEAN,0.0,3501.76,26.75875,32.064166666666665,21.453333333333333,0.0
127,3,Gujarat,Valsad,2006,SUGARCANE,46.7,3501.76,26.75875,32.064166666666665,21.453333333333333,7205.57
127,3,Gujarat,Valsad,2006,SUNFLOWER,0.0,3501.76,26.75875,32.064166666666665,21.453333333333333,0.0
127,3,Gujarat,Valsad,2006,WHEAT,0.9,3501.76,26.75875,32.064166666666665,21.453333333333333,3000.0
127,3,Gujarat,Valsad,2007,BARLEY,0.0,3094.6299999999997,27.003333333333337,32.30833333333334,21.698333333333338,0.0
127,3,Gujarat,Valsad,2007,CASTOR,0.0,3094.6299999999997,27.003333333333337,32.30833333333334,21.698333333333338,0.0
127,3,Gujarat,Valsad,2007,CHICKPEA,2.1,3094.6299999999997,27.003333333333337,32.30833333333334,21.698333333333338,952.38
127,3,Gujarat,Valsad,2007,COTTON,0.0,3094.6299999999997,27.003333333333337,32.30833333333334,21.698333333333338,0.0
127,3,Gujarat,Valsad,2007,FINGER MILLET,11.1,3094.6299999999997,27.003333333333337,32.30833333333334,21.698333333333338,720.72
127,3,Gujarat,Valsad,2007,GROUNDNUT,0.4,3094.6299999999997,27.003333333333337,32.30833333333334,21.698333333333338,1750.0
127,3,Gujarat,Valsad,2007,KHARIF SORGHUM,0.7,3094.6299999999997,27.003333333333337,32.30833333333334,21.698333333333338,1285.71
127,3,Gujarat,Valsad,2007,LINSEED,0.0,3094.6299999999997,27.003333333333337,32.30833333333334,21.698333333333338,0.0
127,3,Gujarat,Valsad,2007,MAIZE,0.0,3094.6299999999997,27.003333333333337,32.30833333333334,21.698333333333338,0.0
127,3,Gujarat,Valsad,2007,MINOR PULSES,14.8,3094.6299999999997,27.003333333333337,32.30833333333334,21.698333333333338,668.92
127,3,Gujarat,Valsad,2007,OILSEEDS,0.5,3094.6299999999997,27.003333333333337,32.30833333333334,21.698333333333338,1600.0
127,3,Gujarat,Valsad,2007,PEARL MILLET,0.0,3094.6299999999997,27.003333333333337,32.30833333333334,21.698333333333338,0.0
127,3,Gujarat,Valsad,2007,PIGEONPEA,7.3,3094.6299999999997,27.003333333333337,32.30833333333334,21.698333333333338,780.82
127,3,Gujarat,Valsad,2007,RABI SORGHUM,0.0,3094.6299999999997,27.003333333333337,32.30833333333334,21.698333333333338,0.0
127,3,Gujarat,Valsad,2007,RAPESEED AND MUSTARD,0.1,3094.6299999999997,27.003333333333337,32.30833333333334,21.698333333333338,1000.0
127,3,Gujarat,Valsad,2007,RICE,109.2,3094.6299999999997,27.003333333333337,32.30833333333334,21.698333333333338,2394.69
127,3,Gujarat,Valsad,2007,SAFFLOWER,0.0,3094.6299999999997,27.003333333333337,32.30833333333334,21.698333333333338,0.0
